Date,PortfolioValue,Peak,Drawdown
2020-06-23,112277.39311257958,112277.39311257958,0.0
2020-06-24,112277.39311257958,112277.39311257958,0.0
2020-06-25,112277.39311257958,112277.39311257958,0.0
2020-06-26,112277.39311257958,112277.39311257958,0.0
2020-06-29,112277.39311257958,112277.39311257958,0.0
2020-06-30,112277.39311257958,112277.39311257958,0.0
2020-07-01,112277.39311257958,112277.39311257958,0.0
2020-07-02,112277.39311257958,112277.39311257958,0.0
2020-07-06,112277.39311257958,112277.39311257958,0.0
2020-07-07,112277.39311257958,112277.39311257958,0.0
2020-07-08,112277.39311257958,112277.39311257958,0.0
2020-07-09,112277.39311257958,112277.39311257958,0.0
2020-07-10,112277.39311257958,112277.39311257958,0.0
2020-07-13,112277.39311257958,112277.39311257958,0.0
2020-07-14,112277.39311257958,112277.39311257958,0.0
2020-07-15,112277.39311257958,112277.39311257958,0.0
2020-07-16,112277.39311257958,112277.39311257958,0.0
2020-07-17,112277.39311257958,112277.39311257958,0.0
2020-07-20,112277.39311257958,112277.39311257958,0.0
2020-07-21,112277.39311257958,112277.39311257958,0.0
2020-07-22,112277.39311257958,112277.39311257958,0.0
2020-07-23,112277.39311257958,112277.39311257958,0.0
2020-07-24,112277.39311257958,112277.39311257958,0.0
2020-07-27,112277.39311257958,112277.39311257958,0.0
2020-07-28,112277.39311257958,112277.39311257958,0.0
2020-07-29,112277.39311257958,112277.39311257958,0.0
2020-07-30,112277.39311257958,112277.39311257958,0.0
2020-07-31,112277.39311257958,112277.39311257958,0.0
2020-08-03,112277.39311257958,112277.39311257958,0.0
2020-08-04,112277.39311257958,112277.39311257958,0.0
2020-08-05,112277.39311257958,112277.39311257958,0.0
2020-08-06,112277.39311257958,112277.39311257958,0.0
2020-08-07,112277.39311257958,112277.39311257958,0.0
2020-08-10,112277.39311257958,112277.39311257958,0.0
2020-08-11,112277.39311257958,112277.39311257958,0.0
2020-08-12,112277.39311257958,112277.39311257958,0.0
2020-08-13,112277.39311257958,112277.39311257958,0.0
2020-08-14,112277.39311257958,112277.39311257958,0.0
2020-08-17,112277.39311257958,112277.39311257958,0.0
2020-08-18,112277.39311257958,112277.39311257958,0.0
2020-08-19,112277.39311257958,112277.39311257958,0.0
2020-08-20,112277.39311257958,112277.39311257958,0.0
2020-08-21,112277.39311257958,112277.39311257958,0.0
2020-08-24,112277.39311257958,112277.39311257958,0.0
2020-08-25,112277.39311257958,112277.39311257958,0.0
2020-08-26,112277.39311257958,112277.39311257958,0.0
2020-08-27,112277.39311257958,112277.39311257958,0.0
2020-08-28,112277.39311257958,112277.39311257958,0.0
2020-08-31,112277.39311257958,112277.39311257958,0.0
2020-09-01,112277.39311257958,112277.39311257958,0.0
2020-09-02,112277.39311257958,112277.39311257958,0.0
2020-09-03,112277.39311257958,112277.39311257958,0.0
2020-09-04,112277.39311257958,112277.39311257958,0.0
2020-09-08,112277.39311257958,112277.39311257958,0.0
2020-09-09,112277.39311257958,112277.39311257958,0.0
2020-09-10,112277.39311257958,112277.39311257958,0.0
2020-09-11,112277.39311257958,112277.39311257958,0.0
2020-09-14,112277.39311257958,112277.39311257958,0.0
2020-09-15,112277.39311257958,112277.39311257958,0.0
2020-09-16,112277.39311257958,112277.39311257958,0.0
2020-09-17,112277.39311257958,112277.39311257958,0.0
2020-09-18,112277.39311257958,112277.39311257958,0.0
2020-09-21,112277.39311257958,112277.39311257958,0.0
2020-09-22,112277.39311257958,112277.39311257958,0.0
2020-09-23,112277.39311257958,112277.39311257958,0.0
2020-09-24,112277.39311257958,112277.39311257958,0.0
2020-09-25,112277.39311257958,112277.39311257958,0.0
